name_of_dataset	location_on_server	location_on_present_machine	username	password	category	postprocessing	comment
gene2pubmed	https://ftp.ncbi.nlm.nih.gov/gene/DATA/gene2pubmed.gz	ncbi	none	none	basics	none	none
gene_info	https://ftp.ncbi.nlm.nih.gov/gene/DATA/gene_info.gz	ncbi	none	none	basics	none	none
gene2ensembl	https://ftp.ncbi.nlm.nih.gov/gene/DATA/gene2ensembl.gz	ncbi	none	none	basics	none	none
gene2go	https://ftp.ncbi.nlm.nih.gov/gene/DATA/gene2go.gz	ncbi	none	none	basics	none	none
generifs_basic	https://ftp.ncbi.nlm.nih.gov/gene/GeneRIF/generifs_basic.gz	ncbi	none	none	basics	none	none
homologene	https://ftp.ncbi.nlm.nih.gov/pub/HomoloGene/current/RELEASE_NUMBER	ncbi	none	none	basics	none	none
homologene	https://ftp.ncbi.nlm.nih.gov/pub/HomoloGene/current/homologene.data	ncbi	none	none	basics	none	none
swissprot	ftp://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/complete/uniprot_sprot.fasta.gz	uniprot	none	none	basics	none	none
trembl	ftp://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/complete/uniprot_trembl.fasta.gz	uniprot	none	none	basics	none	none
taxdmp	https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdmp.zip	ncbi	none	none	basics	unzip	none
uniprot_ids	ftp://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/idmapping/idmapping_selected.tab.gz	uniprot	none	none	skip	none	Usually times out - download with outside program
flybase_expression	http://flybase.org/static_pages/downloads/FB2017_01/genes/gene_rpkm_report_fb_2017_01.tsv.gz	flybase	none	none	basics	none	none
gerstein_expression	http://cmptxn.gersteinlab.org/worm_gene.xlsx	gersteinlab	none	none	basics	none	"ModEncode data, also see https://www.encodeproject.org/comparative/transcriptome/"
other	http://thebiogrid.org/downloads/archives/Release%20Archive/BIOGRID-3.4.140/BIOGRID-ALL-3.4.140.tab2.zip	biogrid	none	none	basics	unzip	none
biosystems	ftp://ftp.ncbi.nih.gov/pub/biosystems/CURRENT/biosystems_gene.gz	ncbi	none	none	basics	none	none
biosystems	ftp://ftp.ncbi.nih.gov/pub/biosystems/CURRENT/bsid2info.gz	ncbi	none	none	basics	none	none
interpro	ftp://ftp.ebi.ac.uk/pub/databases/interpro/protein2ipr.dat.gz	interpro	none	none	basics	none	none
biogrid	https://thebiogrid.org/downloads/archives/Release%20Archive/BIOGRID-3.4.147/BIOGRID-ALL-3.4.147.tab2.zip	biogrid	none	none	basics	none	none
genetic_testing_registry_test_version	ftp://ftp.ncbi.nlm.nih.gov/pub/GTR/data/test_version.gz	gtr	none	none	basics	none	none
genetic_testing_registry_test_condition	ftp://ftp.ncbi.nlm.nih.gov/pub/GTR/data/test_condition_gene.txt	gtr	none	none	basics	none	none
